Timestamp,Value (L/s)
09-Feb-21 9:30:00 AM CET,2279
09-Feb-21 9:45:00 AM CET,2459
09-Feb-21 10:00:00 AM CET,2406
09-Feb-21 10:15:00 AM CET,2431
09-Feb-21 10:30:00 AM CET,2293
09-Feb-21 10:45:00 AM CET,2202
09-Feb-21 11:00:00 AM CET,2545
09-Feb-21 11:15:00 AM CET,2353
09-Feb-21 11:30:00 AM CET,2248
09-Feb-21 11:45:00 AM CET,2208
09-Feb-21 12:00:00 PM CET,2265
09-Feb-21 12:15:00 PM CET,2283
09-Feb-21 12:30:00 PM CET,2330
09-Feb-21 12:45:01 PM CET,2436
09-Feb-21 1:00:00 PM CET,2537
09-Feb-21 1:15:00 PM CET,2431
09-Feb-21 1:30:00 PM CET,2437
09-Feb-21 1:45:00 PM CET,2376
09-Feb-21 2:00:00 PM CET,2452
09-Feb-21 2:15:01 PM CET,2426
09-Feb-21 2:30:00 PM CET,2326
09-Feb-21 2:45:00 PM CET,2296
09-Feb-21 3:00:00 PM CET,2378
09-Feb-21 3:15:00 PM CET,2235
09-Feb-21 3:30:00 PM CET,2221
09-Feb-21 3:45:00 PM CET,2307
09-Feb-21 4:00:00 PM CET,2264
09-Feb-21 4:15:00 PM CET,2296
09-Feb-21 4:30:00 PM CET,2147
09-Feb-21 4:45:00 PM CET,2265
09-Feb-21 5:00:00 PM CET,2127
09-Feb-21 5:15:00 PM CET,2160
09-Feb-21 5:30:00 PM CET,2060
09-Feb-21 5:45:00 PM CET,2083
09-Feb-21 6:00:00 PM CET,2136
09-Feb-21 6:15:01 PM CET,2223
09-Feb-21 6:30:00 PM CET,2134
09-Feb-21 6:45:00 PM CET,2125
09-Feb-21 7:00:00 PM CET,1969
09-Feb-21 7:15:00 PM CET,1956
09-Feb-21 7:30:00 PM CET,1959
09-Feb-21 7:45:00 PM CET,1908
09-Feb-21 8:00:00 PM CET,1860
09-Feb-21 8:15:00 PM CET,1921
09-Feb-21 8:30:01 PM CET,0
09-Feb-21 8:45:00 PM CET,0
09-Feb-21 9:00:00 PM CET,0
09-Feb-21 9:15:00 PM CET,0
09-Feb-21 9:30:00 PM CET,0
09-Feb-21 9:45:00 PM CET,0
09-Feb-21 10:00:00 PM CET,0
09-Feb-21 10:15:00 PM CET,0
09-Feb-21 10:30:00 PM CET,0
09-Feb-21 10:45:00 PM CET,0
09-Feb-21 11:00:00 PM CET,0
09-Feb-21 11:15:01 PM CET,0
09-Feb-21 11:30:00 PM CET,0
09-Feb-21 11:45:01 PM CET,0
10-Feb-21 12:00:00 AM CET,0
10-Feb-21 12:15:00 AM CET,0
10-Feb-21 12:30:01 AM CET,0
10-Feb-21 12:45:00 AM CET,0
10-Feb-21 1:00:00 AM CET,0
10-Feb-21 1:15:01 AM CET,0
10-Feb-21 1:30:00 AM CET,0
10-Feb-21 1:45:00 AM CET,0
10-Feb-21 2:00:00 AM CET,0
10-Feb-21 2:15:01 AM CET,0
10-Feb-21 2:30:00 AM CET,0
10-Feb-21 2:45:00 AM CET,0
10-Feb-21 3:00:00 AM CET,0
10-Feb-21 3:15:00 AM CET,0
10-Feb-21 3:30:00 AM CET,0
10-Feb-21 3:45:00 AM CET,0
10-Feb-21 4:00:00 AM CET,0
10-Feb-21 4:15:00 AM CET,0
10-Feb-21 4:30:00 AM CET,0
10-Feb-21 4:45:00 AM CET,0
10-Feb-21 5:00:00 AM CET,0
10-Feb-21 5:15:00 AM CET,0
10-Feb-21 5:30:00 AM CET,0
10-Feb-21 5:45:00 AM CET,0
10-Feb-21 6:00:00 AM CET,0
10-Feb-21 6:15:01 AM CET,0
10-Feb-21 6:30:00 AM CET,0
10-Feb-21 6:45:00 AM CET,2828
10-Feb-21 7:00:00 AM CET,2258
10-Feb-21 7:15:00 AM CET,2045
10-Feb-21 7:30:00 AM CET,2143
10-Feb-21 7:45:00 AM CET,2118
10-Feb-21 8:00:00 AM CET,2262
10-Feb-21 8:15:00 AM CET,2162
10-Feb-21 8:30:00 AM CET,2057
10-Feb-21 8:45:00 AM CET,2252
10-Feb-21 9:00:00 AM CET,2312
10-Feb-21 9:15:00 AM CET,2351
10-Feb-21 9:30:00 AM CET,2229
10-Feb-21 9:45:00 AM CET,2197
10-Feb-21 10:00:00 AM CET,2321
10-Feb-21 10:15:00 AM CET,2388
10-Feb-21 10:30:00 AM CET,2453
10-Feb-21 10:45:00 AM CET,2455
10-Feb-21 11:00:00 AM CET,2499
10-Feb-21 11:15:00 AM CET,2362
10-Feb-21 11:30:00 AM CET,2404
10-Feb-21 11:45:00 AM CET,2294
10-Feb-21 12:00:00 PM CET,2515
10-Feb-21 12:15:00 PM CET,2450
10-Feb-21 12:30:01 PM CET,2508
10-Feb-21 12:45:00 PM CET,2595
10-Feb-21 1:00:00 PM CET,2562
10-Feb-21 1:15:00 PM CET,2543
10-Feb-21 1:30:01 PM CET,2568
10-Feb-21 1:45:00 PM CET,2608
10-Feb-21 2:00:00 PM CET,2546
10-Feb-21 2:15:00 PM CET,2430
10-Feb-21 2:30:00 PM CET,2463
10-Feb-21 2:45:00 PM CET,2383
10-Feb-21 3:00:00 PM CET,2367
10-Feb-21 3:15:00 PM CET,2264
10-Feb-21 3:30:00 PM CET,2279
10-Feb-21 3:45:00 PM CET,2170
10-Feb-21 4:00:00 PM CET,2253
10-Feb-21 4:15:00 PM CET,2098
10-Feb-21 4:30:00 PM CET,2368
10-Feb-21 4:45:01 PM CET,2304
10-Feb-21 5:00:00 PM CET,2214
10-Feb-21 5:15:00 PM CET,2258
10-Feb-21 5:30:00 PM CET,2167
10-Feb-21 5:45:00 PM CET,2210
10-Feb-21 6:00:01 PM CET,1978
10-Feb-21 6:15:00 PM CET,1963
10-Feb-21 6:30:00 PM CET,1975
10-Feb-21 6:45:00 PM CET,1990
10-Feb-21 7:00:00 PM CET,1933
10-Feb-21 7:15:00 PM CET,1954
10-Feb-21 7:30:00 PM CET,2018
10-Feb-21 7:45:00 PM CET,0
10-Feb-21 8:00:00 PM CET,0
10-Feb-21 8:15:00 PM CET,0
10-Feb-21 8:30:00 PM CET,0
10-Feb-21 8:45:00 PM CET,0
10-Feb-21 9:00:00 PM CET,0
10-Feb-21 9:15:01 PM CET,0
10-Feb-21 9:30:01 PM CET,0
10-Feb-21 9:45:00 PM CET,0
10-Feb-21 10:00:00 PM CET,0
10-Feb-21 10:15:00 PM CET,0
10-Feb-21 10:30:00 PM CET,0
10-Feb-21 10:45:00 PM CET,0
10-Feb-21 11:00:00 PM CET,0
10-Feb-21 11:15:00 PM CET,0
10-Feb-21 11:30:00 PM CET,0
10-Feb-21 11:45:00 PM CET,0
11-Feb-21 12:00:00 AM CET,0
11-Feb-21 12:15:00 AM CET,0
11-Feb-21 12:30:00 AM CET,0
11-Feb-21 12:45:00 AM CET,0
11-Feb-21 1:00:00 AM CET,0
11-Feb-21 1:15:00 AM CET,0
11-Feb-21 1:30:00 AM CET,0
11-Feb-21 1:45:00 AM CET,0
11-Feb-21 2:00:00 AM CET,0
11-Feb-21 2:15:00 AM CET,0
11-Feb-21 2:30:00 AM CET,0
11-Feb-21 2:45:00 AM CET,0
11-Feb-21 3:00:00 AM CET,0
11-Feb-21 3:15:00 AM CET,0
