Timestamp,Value (kW)
07-Feb-21 8:00:00 AM CET,6512
07-Feb-21 8:15:00 AM CET,6512
07-Feb-21 8:30:00 AM CET,6512
07-Feb-21 8:45:00 AM CET,6511
07-Feb-21 9:00:00 AM CET,6514
07-Feb-21 9:15:00 AM CET,6515
07-Feb-21 9:30:00 AM CET,6513
07-Feb-21 9:45:00 AM CET,6518
07-Feb-21 10:00:00 AM CET,6513
07-Feb-21 10:15:00 AM CET,6510
07-Feb-21 10:30:00 AM CET,6509
07-Feb-21 10:45:00 AM CET,6517
07-Feb-21 11:00:00 AM CET,6515
07-Feb-21 11:15:00 AM CET,6510
07-Feb-21 11:30:01 AM CET,6512
07-Feb-21 11:45:00 AM CET,6517
07-Feb-21 12:00:00 PM CET,6513
07-Feb-21 12:15:00 PM CET,6513
07-Feb-21 12:30:00 PM CET,6508
07-Feb-21 12:45:00 PM CET,6512
07-Feb-21 1:00:00 PM CET,6512
07-Feb-21 1:15:00 PM CET,6507
07-Feb-21 1:30:00 PM CET,6504
07-Feb-21 1:45:00 PM CET,6515
07-Feb-21 2:00:00 PM CET,6513
07-Feb-21 2:15:00 PM CET,6515
07-Feb-21 2:30:00 PM CET,6514
07-Feb-21 2:45:00 PM CET,6510
07-Feb-21 3:00:01 PM CET,6517
07-Feb-21 3:15:00 PM CET,6514
07-Feb-21 3:30:00 PM CET,6512
07-Feb-21 3:45:00 PM CET,6509
07-Feb-21 4:00:00 PM CET,6511
07-Feb-21 4:15:00 PM CET,6510
07-Feb-21 4:30:00 PM CET,6512
07-Feb-21 4:45:00 PM CET,6513
07-Feb-21 5:00:00 PM CET,6512
07-Feb-21 5:15:00 PM CET,6512
07-Feb-21 5:30:01 PM CET,6506
07-Feb-21 5:45:00 PM CET,6506
07-Feb-21 6:00:00 PM CET,6510
07-Feb-21 6:15:00 PM CET,6506
07-Feb-21 6:30:00 PM CET,6512
07-Feb-21 6:45:00 PM CET,6506
07-Feb-21 7:00:00 PM CET,6507
07-Feb-21 7:15:00 PM CET,6514
07-Feb-21 7:30:00 PM CET,6507
07-Feb-21 7:45:00 PM CET,6508
07-Feb-21 8:00:00 PM CET,6508
07-Feb-21 8:15:01 PM CET,6513
07-Feb-21 8:30:00 PM CET,6522
07-Feb-21 8:45:00 PM CET,6522
07-Feb-21 9:00:00 PM CET,6523
07-Feb-21 9:15:00 PM CET,6523
07-Feb-21 9:30:00 PM CET,6520
07-Feb-21 9:45:00 PM CET,6522
07-Feb-21 10:00:00 PM CET,6519
07-Feb-21 10:15:00 PM CET,6518
07-Feb-21 10:30:00 PM CET,6525
07-Feb-21 10:45:00 PM CET,6522
07-Feb-21 11:00:00 PM CET,6516
07-Feb-21 11:15:00 PM CET,6522
07-Feb-21 11:30:00 PM CET,6521
07-Feb-21 11:45:00 PM CET,6521
08-Feb-21 12:00:01 AM CET,6524
08-Feb-21 12:15:00 AM CET,6514
08-Feb-21 12:30:00 AM CET,6525
08-Feb-21 12:45:00 AM CET,6516
08-Feb-21 1:00:00 AM CET,6519
08-Feb-21 1:15:00 AM CET,6518
08-Feb-21 1:30:00 AM CET,6520
08-Feb-21 1:45:00 AM CET,6523
08-Feb-21 2:00:00 AM CET,6521
08-Feb-21 2:15:00 AM CET,6518
08-Feb-21 2:30:00 AM CET,6522
08-Feb-21 2:45:00 AM CET,6521
08-Feb-21 3:00:01 AM CET,6522
08-Feb-21 3:15:00 AM CET,6525
08-Feb-21 3:30:00 AM CET,6519
08-Feb-21 3:45:01 AM CET,6524
08-Feb-21 4:00:00 AM CET,6516
08-Feb-21 4:15:00 AM CET,6521
08-Feb-21 4:30:00 AM CET,6516
08-Feb-21 4:45:00 AM CET,6518
08-Feb-21 5:00:00 AM CET,6520
08-Feb-21 5:15:00 AM CET,6520
08-Feb-21 5:30:00 AM CET,6506
08-Feb-21 5:45:00 AM CET,6511
08-Feb-21 6:00:00 AM CET,6503
08-Feb-21 6:15:00 AM CET,6511
08-Feb-21 6:30:00 AM CET,6503
08-Feb-21 6:45:00 AM CET,6493
08-Feb-21 7:00:00 AM CET,6493
08-Feb-21 7:15:00 AM CET,6491
08-Feb-21 7:30:00 AM CET,6485
08-Feb-21 7:45:00 AM CET,6485
08-Feb-21 8:00:00 AM CET,6478
08-Feb-21 8:15:01 AM CET,6485
08-Feb-21 8:30:00 AM CET,6485
08-Feb-21 8:45:00 AM CET,6478
08-Feb-21 9:00:00 AM CET,6482
08-Feb-21 9:15:00 AM CET,6478
08-Feb-21 9:30:00 AM CET,6466
08-Feb-21 9:45:00 AM CET,6472
08-Feb-21 10:00:01 AM CET,6478
08-Feb-21 10:15:00 AM CET,6480
08-Feb-21 10:30:00 AM CET,6475
08-Feb-21 10:45:00 AM CET,6472
08-Feb-21 11:00:00 AM CET,6481
08-Feb-21 11:15:00 AM CET,6476
08-Feb-21 11:30:00 AM CET,6484
08-Feb-21 11:45:00 AM CET,6479
08-Feb-21 12:00:00 PM CET,6470
08-Feb-21 12:15:00 PM CET,6483
08-Feb-21 12:30:00 PM CET,6478
08-Feb-21 12:45:00 PM CET,6481
08-Feb-21 1:00:00 PM CET,6484
08-Feb-21 1:15:00 PM CET,6472
08-Feb-21 1:30:00 PM CET,6480
08-Feb-21 1:45:00 PM CET,6480
08-Feb-21 2:00:00 PM CET,6483
08-Feb-21 2:15:00 PM CET,6476
08-Feb-21 2:30:00 PM CET,6486
08-Feb-21 2:45:00 PM CET,6473
08-Feb-21 3:00:00 PM CET,6486
08-Feb-21 3:15:00 PM CET,6488
08-Feb-21 3:30:00 PM CET,6483
08-Feb-21 3:45:00 PM CET,6492
08-Feb-21 4:00:00 PM CET,6483
08-Feb-21 4:15:00 PM CET,6496
08-Feb-21 4:30:00 PM CET,6490
08-Feb-21 4:45:00 PM CET,6495
08-Feb-21 5:00:00 PM CET,6490
08-Feb-21 5:15:01 PM CET,6496
08-Feb-21 5:30:00 PM CET,6491
08-Feb-21 5:45:00 PM CET,6500
08-Feb-21 6:00:00 PM CET,6498
08-Feb-21 6:15:00 PM CET,6493
08-Feb-21 6:30:00 PM CET,6502
08-Feb-21 6:45:00 PM CET,6501
08-Feb-21 7:00:01 PM CET,6501
08-Feb-21 7:15:00 PM CET,6504
08-Feb-21 7:30:00 PM CET,6502
08-Feb-21 7:45:00 PM CET,6501
08-Feb-21 8:00:00 PM CET,6506
08-Feb-21 8:15:00 PM CET,6507
08-Feb-21 8:30:00 PM CET,6515
08-Feb-21 8:45:00 PM CET,6519
08-Feb-21 9:00:00 PM CET,6514
08-Feb-21 9:15:00 PM CET,6514
08-Feb-21 9:30:00 PM CET,6519
08-Feb-21 9:45:00 PM CET,6520
08-Feb-21 10:00:00 PM CET,6524
08-Feb-21 10:15:00 PM CET,6518
08-Feb-21 10:30:00 PM CET,6521
08-Feb-21 10:45:00 PM CET,6522
08-Feb-21 11:00:01 PM CET,6518
08-Feb-21 11:15:00 PM CET,6516
08-Feb-21 11:30:00 PM CET,6521
08-Feb-21 11:45:00 PM CET,6514
09-Feb-21 12:00:00 AM CET,6520
09-Feb-21 12:15:01 AM CET,6522
09-Feb-21 12:30:00 AM CET,6515
09-Feb-21 12:45:00 AM CET,6519
09-Feb-21 1:00:00 AM CET,6518
09-Feb-21 1:15:00 AM CET,6522
09-Feb-21 1:30:00 AM CET,6516
09-Feb-21 1:45:00 AM CET,6520
09-Feb-21 2:00:00 AM CET,6516
09-Feb-21 2:15:01 AM CET,6518
09-Feb-21 2:30:00 AM CET,6518
09-Feb-21 2:45:00 AM CET,6521
09-Feb-21 3:00:00 AM CET,6516
09-Feb-21 3:15:00 AM CET,6523
09-Feb-21 3:30:00 AM CET,6522
09-Feb-21 3:45:00 AM CET,6519
09-Feb-21 4:00:00 AM CET,6521
09-Feb-21 4:15:00 AM CET,6514
09-Feb-21 4:30:00 AM CET,6522
09-Feb-21 4:45:00 AM CET,6523
09-Feb-21 5:00:01 AM CET,6518
09-Feb-21 5:15:00 AM CET,6524
09-Feb-21 5:30:00 AM CET,6508
09-Feb-21 5:45:00 AM CET,6510
09-Feb-21 6:00:00 AM CET,6512
09-Feb-21 6:15:01 AM CET,6509
09-Feb-21 6:30:00 AM CET,6506
09-Feb-21 6:45:00 AM CET,6498
